sent_id,entity1,entity2,sent,processed_sent,label
TRAIN_SENT_ID_276872,罗启锐,张婉婷,张婉婷 、 罗启锐 《 玻璃 之 城 》,人物二  人物一  玻璃 城,1
TRAIN_SENT_ID_277398,樊姬,楚庄王,楚庄王 最终 得以 成为 霸主 ， 有 樊姬 的 功劳 。,人物二 最终 得以 成为 霸主  人物一 功劳,1
TRAIN_SENT_ID_274333,方怡,韦小宝,刘一舟 刘一舟 原本 是 韦小宝 7 个 老婆 之一 方怡 的 未婚夫 。,刘一舟 刘一舟 原本 人物二  老婆 人物一 未婚夫,1
TRAIN_SENT_ID_263779,秦始皇,赵姬,赵姬 — — 秦始皇,人物二   人物一,-1
TRAIN_SENT_ID_262973,熊美玲,林秋离,No.121 寂寞 难以 忍耐 林秋离 熊美玲 蔡幸娟,寂寞 难以 忍耐 人物二 人物一 蔡幸娟,1
TRAIN_SENT_ID_248905,阮星竹,段正淳,听到 这 惨声 ， 段正淳 心里 一阵 悲痛 ， 他 觉得 此剑 刺 在 阮身 痛 在 自己 之心 啊 ， 于是 他 这时 当着 阮星竹 的 面对 她 大喊 了 一句 ： “ 阿星 ！ ”,听到 惨声  人物二 心里 一阵 悲痛  觉得 此剑 刺 阮身 痛 之心  人物一 面对 大喊 一句   阿星,1
TRAIN_SENT_ID_257736,桓雄,桓因,大 倧 教 的 信仰 对象 是 创造 世界 的 太阳神 桓因 、 开启 天门 的 教化 神 桓雄 、 建设 国家 的 治化 神檀君 的 三神 一体 。,倧 教 信仰 对象 创造 世界 太阳神 人物二  开启 天门 教化 神 人物一  建设 国家 治化 神檀君 三神 一体,-1
TRAIN_SENT_ID_262787,熊美玲,林秋离,No.75 把 梦 写 在 你 的 手心 林秋离 熊美玲 蔡幸娟,梦 写 手心 人物二 人物一 蔡幸娟,1
TRAIN_SENT_ID_286669,武之内空,石田大和,■ 八神 太一 武之内空 石田大和,■ 八神 太一 人物一 人物二,1
TRAIN_SENT_ID_273489,殷素素,张翠山,张翠山 和 殷素素 为存 忠义 ， 维护 谢逊 而 三缄其口 。,人物二 人物一 为存 忠义  维护 谢逊 三缄其口,1
TRAIN_SENT_ID_284471,钱永刚,钱学森,主题 ： 从 钱永刚 看 钱学森,主题  人物一 人物二,-1
TRAIN_SENT_ID_270646,赵宏博,申雪,关智斌 王婧 杨恭如 申雪 赵宏博,关智斌 王婧 杨恭如 人物二 人物一,1
TRAIN_SENT_ID_270408,关平,关羽,关羽 （ 白 ） 关平 听令 ！,人物二  白  人物一 听令,-1
TRAIN_SENT_ID_258777,刘禅,刘备,刘备 敕 刘禅 遗诏 原文 : 朕 初 疾 但 下痢 耳 ， 后转 杂 他 病 ， 殆不自济 。,人物二 敕 人物一 遗诏 原文  朕 初 疾 下痢 耳  后转 杂 病  殆不自济,-1
TRAIN_SENT_ID_260556,严嵩,严世蕃,在 徐阶 的 怂恿 下 ， 皇帝 夺去 严嵩 一切 官职 ， 勒令 回乡 ， 严世蕃 谪戍 雷州 卫 。,徐阶 怂恿  皇帝 夺去 人物一 官职  勒令 回乡  人物二 谪戍 雷州 卫,-1
TRAIN_SENT_ID_252250,秦嘉,徐淑,汉 徐淑 《 报 秦嘉 书 》 ： “ 镜有 文彩 之丽 ， 钗 有 殊异 之观 。 ”,汉 人物二  报 人物一 书    镜有 文彩 之丽  钗 殊异 之观,1
TRAIN_SENT_ID_281444,曾雅兰,侯昌明,20091012 来宾 ： 贺一航 、 高凌风 、 曾雅兰 、 侯昌明 周冠军 争霸赛,来宾  贺一航  高凌风  人物一  人物二 周冠军 争霸赛,1
TRAIN_SENT_ID_249956,张无忌,赵敏,张无忌 放弃 了 江湖 与 江山 他 把 幸福 给 了 赵敏 却 把 牵挂 给 了 小昭 把 漂泊 给 了 蛛儿 把 憾恨 给 了 芷 若 ...,人物一 放弃 江湖 江山 幸福 人物二 牵挂 小昭 漂泊 蛛儿 憾恨 芷,1
TRAIN_SENT_ID_255661,蒋介石,宋美龄,蒋介石 宋美龄 游 焦山,人物一 人物二 游 焦山,1
TRAIN_SENT_ID_282557,寇乃馨,黄国伦,寇乃馨 、 黄国伦,人物一  人物二,1
TRAIN_SENT_ID_259123,刘备,刘禅,共同 了解 、 深思 守业 失败 的 刘备 、 刘禅 等 人 的 失败 教训 。,共同 了解  深思 守业 失败 人物一  人物二 失败 教训,-1
TRAIN_SENT_ID_257013,李嫣,王菲,而 王菲 和 李亚鹏 身穿 李嫣 牌 T恤 现身 支持 。,人物二 李亚鹏 身穿 人物一 牌 恤 现身 支持,-1
TRAIN_SENT_ID_272458,包惜弱,杨铁心,陈思思 （ 包惜弱 ） ， 秦沛 （ 杨铁心 ）,陈思思  人物一   秦沛  人物二,1
TRAIN_SENT_ID_277132,浦安修,彭德怀,浦安修 五内如焚 ， 听不清 批判者 罗织 的 她 和 彭德怀 “ 狼狈为奸 ” 的 “ 罪状 ” 是 什么 ， 突然 ， 她 热血 上涌 ， 惨叫 一声 ， 昏倒 在 地上 。,人物一 五内如焚  听不清 批判者 罗织 人物二  狼狈为奸   罪状   突然  热血 上涌  惨叫 一声  昏倒 地上,1
TRAIN_SENT_ID_262634,况天佑,马小玲,马小玲 和 况天佑 再 一次 携手 创造 奇迹 ！,人物二 人物一 一次 携手 创造 奇迹,1
TRAIN_SENT_ID_272757,徐天宏,周绮,徐天宏 和 周绮 1,人物一 人物二,1
TRAIN_SENT_ID_260418,穆桂英,杨宗保,2 . 穆桂英 杨宗保 人 宋营,人物一 人物二 宋营,1
TRAIN_SENT_ID_250050,张无忌,赵敏,技能 ： 此人 武功 不成 ， 烹调 手段 倒算 得 是 第一流 好手 ， 做 几碗 菜肴 ， 张无忌 和 赵敏 吃 来 大加 赞赏 【 第三十五章 节选 】,技能  此人 武功  烹调 手段 倒算 第一流 好手  做 几碗 菜肴  人物一 人物二 吃 大加 赞赏  第三十五章 节选,1
TRAIN_SENT_ID_267540,慕容令,慕容垂,慕容垂 同意 了 ， 命 慕容令 断后 。,人物二 同意  命 人物一 断后,-1
TRAIN_SENT_ID_281708,高亚麟,时玮,高亚麟 在 外地 拍戏 ， 时玮 决定 去 探班 。,人物一 外地 拍戏  人物二 决定 探班,1
TRAIN_SENT_ID_262801,熊美玲,林秋离,No.8 人情味 （ 台语 ） 林秋离 熊美玲 江蕙,人情味  台语  人物二 人物一 江蕙,1
TRAIN_SENT_ID_278576,岳灵珊,岳不群,岳灵珊 （ 师姐 ） 林平之 仇敌 : 余沧海 / 青城派 ， 木高峰 ， 岳不群 林平之 盟友 : 左冷禅,人物一  师姐  林平之 仇敌  余沧海  青城派  木高峰  人物二 林平之 盟友  左冷禅,-1
TRAIN_SENT_ID_278924,汪涵,杨乐乐,1 主持 阵容 : 金晓琳 、 冯祺 、 郑慧琳 、 仇晓 、 汪涵 、 杨乐乐 。,主持 阵容  金晓琳  冯祺  郑慧琳  仇晓  人物一  人物二,1
TRAIN_SENT_ID_283116,李英宰,韩智恩,看过 浪漫 满屋 的 人 应该 有 印象 ， 李英宰 早晨 总是 向 韩智恩 吵 着 要 大 酱汤 喝 。,看过 浪漫 满屋 应该 印象  人物一 早晨 总是 人物二 吵 酱汤 喝,1
TRAIN_SENT_ID_275510,徐少华,杨琨,这次 山艺 进修 ， 徐少华 继续 学习 表演 ， 而 杨琨 则 改行 学了 导演 。,山艺 进修  人物一 继续 学习 表演  人物二 改行 学了 导演,1
TRAIN_SENT_ID_262479,扶苏,秦始皇,《 秦始皇 》 扮演 小 扶苏,人物二  扮演 人物一,-1
TRAIN_SENT_ID_260679,李莎,李立三,第六章 李立三 受屈 罢官 李莎 对 他 开导 劝慰,第六章 人物二 受屈 罢官 人物一 开导 劝慰,1
TRAIN_SENT_ID_260221,穆桂英,杨宗保,七彩 杨宗保 扎脚 穆桂英,七彩 人物二 扎脚 人物一,1
TRAIN_SENT_ID_270688,赵宏博,申雪,这是 世界冠军 申雪 对 “ 冰上 情侣 ” 赵宏博 的 评价 。,这是 世界冠军 人物二  冰上 情侣  人物一 评价,1
TRAIN_SENT_ID_251734,黄志忠,何音,觜 角 ： 王安石 苏轼 ， 范冰冰 李晨 ， 何音 黄志忠 ， 黄杏秀 陈百祥,觜 角  王安石 苏轼  范冰冰 李晨  人物二 人物一  黄杏秀 陈百祥,1
TRAIN_SENT_ID_278528,李秀文,叶挺,不久 ， 叶挺 决定 先 让 李秀文 回 广州 。,不久  人物二 决定 先 人物一 回 广州,1
TRAIN_SENT_ID_279235,长孙无极,孟扶摇,孟扶摇 经典语录 : 请放 长孙无极 。,人物二 经典语录  请放 人物一,1
TRAIN_SENT_ID_261549,关兴,关羽,崇宁 殿 供奉 关羽 像 ， 配殿 有关 平 、 关兴 塑像 。,崇宁 殿 供奉 人物二  配殿 平  人物一 塑像,-1
TRAIN_SENT_ID_268568,潘金莲,武大郎,· 1.24 武大郎 VS 潘金莲,人物二  人物一,1
TRAIN_SENT_ID_262767,熊美玲,林秋离,No.181 梦语 林秋离 熊美玲 江淑娜,梦语 人物二 人物一 江淑娜,1
TRAIN_SENT_ID_260880,贾珍,贾蓉,"贾珍 、 贾琏 、 贾环 、 贾蓉 等 皆 是 表礼 一端 , 金银 锞 一对 。 ”",人物一  贾琏  贾环  人物二 皆 表礼 一端  金银 锞 一对,-1
TRAIN_SENT_ID_284403,国仲凉子,向井理,》 精彩剧照 向井理 与 国仲凉子,精彩剧照 人物二 人物一,1
TRAIN_SENT_ID_262354,汪精卫,陈璧君,王临乙 塑 汪精卫 陈璧君 跪 像 以 平民愤 。,王临乙 塑 人物一 人物二 跪 平民愤,1
TRAIN_SENT_ID_250057,张无忌,赵敏,赵敏 即使 是 扮做 大汉 ， 也 能 把 张无忌 迷 的 神魂颠倒 。,人物二 扮做 大汉  人物一 迷 神魂颠倒,1
TRAIN_SENT_ID_274023,白素,卫斯理,叙述 卫斯理 与 白素 浪漫 相处 过程 。,叙述 人物二 人物一 浪漫 相处 过程,1
TRAIN_SENT_ID_274883,晏几道,晏殊,第三 讲 范仲淹 、 晏殊 、 晏几道 ， 欧阳修,第三 讲 范仲淹  人物二  人物一  欧阳修,-1
TRAIN_SENT_ID_261486,谢依纯,马国毕,谢依纯 、 马国毕 、 婷婷,人物一  人物二  婷婷,1
TRAIN_SENT_ID_273316,秦香莲,陈世美,这个 没有 多少 慷慨悲歌 、 愤怒 指责 的 “ 冷处理 ” ， 把 秦香莲 的 心理 动作 推向 更 高 的 层次 ， 所以 让 陈世美 不寒而栗 ， 这是 第三个 台阶 。,没有 慷慨悲歌  愤怒 指责  冷处理   人物一 心理 动作 推向 更 高 层次  人物二 不寒而栗  这是 第三个 台阶,1
TRAIN_SENT_ID_283044,公孙敬声,公孙贺,这时 皇上 下 诏 搜捕 阳 陵县 人 朱安世 还 没 捕获 ， 皇上 急于 将 其 逮捕 归案 ， 公孙贺 自己 请求 追捕 朱安世 来 赎 公孙敬声 的 罪 。,皇上 诏 搜捕 阳 陵县 朱安世 没 捕获  皇上 急于 逮捕 归案  人物二 请求 追捕 朱安世 赎 人物一 罪,-1
TRAIN_SENT_ID_277800,晋陵公主,谢混,晋陵公主 于是 把 谢家 的 事 全都 托付给 谢混 的 侄儿 谢弘微 。,人物一 谢家 事 全都 托付给 人物二 侄儿 谢弘微,1
TRAIN_SENT_ID_260821,何超琼,许晋亨,何超琼 = 许晋亨,人物一  人物二,1
TRAIN_SENT_ID_274908,晏几道,晏殊,南宋 诗人 、 大臣 ， 宰相 晏殊 曾孙 ， 词人 晏几道 的 侄孙 。,南宋 诗人  大臣  宰相 人物二 曾孙  词人 人物一 侄孙,-1
TRAIN_SENT_ID_254338,金友庄,高凌风,20110314 欢乐 智多星 开录 胡瓜 、 钱映伊 、 高凌风 、 金友庄,欢乐 智多星 开录 胡瓜  钱映伊  人物二  人物一,1
TRAIN_SENT_ID_285384,苏樱,江小鱼,╠ 双亲 ： 江小鱼 铁心兰 或 张菁 或 苏樱,╠ 双亲  人物二 铁心兰 张菁 人物一,1
TRAIN_SENT_ID_274052,白素,卫斯理,今生 — — 《 地底 奇人 》 、 《 卫斯理 与 白素 》,今生    地底 奇人    人物二 人物一,1
TRAIN_SENT_ID_259341,刘备,刘禅,懦 刘禅 与 智 刘备,懦 人物二 智 人物一,-1
TRAIN_SENT_ID_258768,刘禅,刘备,3 曾效力 过 的 势力 : 益州 刘璋 、 蜀汉 刘备 、 刘禅,曾效力 势力  益州 刘璋  蜀汉 人物二  人物一,-1
TRAIN_SENT_ID_262743,熊美玲,林秋离,No.1 CALLME 林秋离 熊美玲 邝美云,人物二 人物一 邝美云,1
TRAIN_SENT_ID_258337,张兆和,沈从文,第二封 张兆和 致 沈从文 （ 1934.1 . 9 ）,第二封 人物一 人物二,1
TRAIN_SENT_ID_285307,李凤娘,赵惇,光宗 赵惇 皇后 李凤娘,光宗 人物二 皇后 人物一,1
TRAIN_SENT_ID_256074,蒋介石,宋美龄,戴笠 患病 住院 ， 宋美龄 代表 蒋介石 亲往 探望 ， 从此 备受 恩宠 。,戴笠 患病 住院  人物二 代表 人物一 亲往 探望  备受 恩宠,1
TRAIN_SENT_ID_257326,贾珍,尤氏,贾珍 “ 爬灰 ” ， 尤氏 当然 知晓 。,人物一  爬灰   人物二 知晓,1
TRAIN_SENT_ID_277207,张茜,张卫健,我要 轻闲 （ 鹿鼎记 / 小宝 与 康熙 插曲 ） _ 张卫健 张茜,我要 轻闲  鹿鼎记  小宝 康熙 插曲   人物二 人物一,1
TRAIN_SENT_ID_275306,潘巧云,杨雄,杨雄 醉 骂 潘巧云,人物二 醉 骂 人物一,1
TRAIN_SENT_ID_262888,熊美玲,林秋离,No.103 耐心 让 你 更 顺心 林秋离 熊美玲 优客 李林,耐心 更 顺心 人物二 人物一 优客 李林,1
TRAIN_SENT_ID_273555,殷素素,张翠山,另一方面 ， 张翠山 为了 追查 俞岱岩 被害 之事 而 结识 了 殷素素 。,人物二 追查 俞岱岩 被害 之事 结识 人物一,1
TRAIN_SENT_ID_276271,西门吹雪,孙秀青,可惜 ， 西门吹雪 只爱过 孙秀青 ， 试验 次数 太 少 ， 不 具有 普遍性 ， 不能 作为 实验 结论 。,可惜  人物一 只爱过 人物二  试验 次数 太 少  具有 普遍性  不能 实验 结论,1
TRAIN_SENT_ID_272957,吴晗,袁震,袁震 要 喝水 ， 吴晗 就 把 一根 玻璃管 递给 她 ， 替 她 捧 着 水杯 ， 喝 了 水 又 谈 ， 用 愉快 的 谈话 ， 减轻 她 肉体 的 痛苦 。,人物二 喝水  人物一 一根 玻璃管 递给  捧 水杯  喝 水 谈  愉快 谈话  减轻 肉体 痛苦,1
TRAIN_SENT_ID_253719,申雪,赵宏博,《 康 比特 纯 左旋 肉碱 （ 申雪 赵宏博 代言 ） 》,康 比特 纯 左旋 肉碱  人物一 人物二 代言,1
TRAIN_SENT_ID_255970,蒋介石,宋美龄,· 宋美龄 与 蒋介石 视察 空军基地 2,人物二 人物一 视察 空军基地,1
TRAIN_SENT_ID_273475,凌操,凌统,63 ： 凌 父子 凌操 凌统,凌 父子 人物一 人物二,-1
TRAIN_SENT_ID_253669,沈浪,朱七七,三 更 ， 沈浪 、 金无望 为 追查 窗外 神秘 人 离开 ， 留下 朱七七 照看 白飞飞 。,三 更  人物一  金无望 追查 窗外 神秘 离开  留下 人物二 照看 白飞飞,1
TRAIN_SENT_ID_254332,左蓝,余则成,左蓝 是 余则成 真正 的 恋人,人物一 人物二 真正 恋人,1
TRAIN_SENT_ID_274885,晏几道,晏殊,代表作 ， 晏殊 《 珠玉 词 》 ， 晏几道 《 小山 词 》,代表作  人物二  珠玉 词   人物一  小山 词,-1
TRAIN_SENT_ID_278902,汪涵,杨乐乐,杨乐乐 与 汪涵 的 “ 木火 通明 ”,人物二 人物一  木火 通明,1
TRAIN_SENT_ID_285104,石磊,潘阳,石磊 ( 潘阳 老公 ),人物一  人物二 老公,1
TRAIN_SENT_ID_258428,张兆和,沈从文,第十一 封 沈从文 致 张兆和 （ 1934.1 . 15 ）,第十一 封 人物二 人物一,1
TRAIN_SENT_ID_281883,张静,黄茂如,黄茂如 、 张静,人物二  人物一,1
TRAIN_SENT_ID_276388,秦始皇,秦庄襄王,秦始皇 先祖 已 确知 葬 在芷阳 的 有 秦昭襄 王 、 秦庄襄王 和 秦 宣太后 。,人物一 先祖 确知 葬 在芷阳 秦昭襄 王  人物二 秦 宣太后,-1
TRAIN_SENT_ID_273981,白素,卫斯理,卫斯理 与 白素 相关 书目 : 编号,人物二 人物一 相关 书目  编号,1
TRAIN_SENT_ID_259566,冯小刚,徐帆,对于 影后 热门 徐帆 的 “ 失利 ” ， 冯小刚 在 微博上 称 影片 票房 好 遭人 恨 ， “ 她 是 路线斗争 的 牺牲品 。 ”,影后 热门 人物二  失利   人物一 微博上 称 影片 票房 遭人 恨   路线斗争 牺牲品,1
TRAIN_SENT_ID_277123,浦安修,彭德怀,15 ． 一切 如常 ， 请勿 念 — — 彭德怀 发给 浦安修 的 电报,． 如常  请勿 念   人物二 发给 人物一 电报,1
TRAIN_SENT_ID_272089,张翠山,殷素素,【 如果 其中 有 什么 阴谋 的话 ， 那 请问 张翠山 为什么 也 选择 殷素素 呢 ？,阴谋  请问 人物一 选择 人物二,1
TRAIN_SENT_ID_252217,秦嘉,徐淑,夫妻 诗人 秦嘉 、 徐淑 / 65,夫妻 诗人 人物一  人物二,1
TRAIN_SENT_ID_258730,刘禅,刘备,如 刘备 、 刘禅 的 忠臣 建议 选择 黄忠 、 马超 等 。,人物二  人物一 忠臣 建议 选择 黄忠  马超,-1
TRAIN_SENT_ID_266524,严世蕃,严嵩,贪必 好 淫 ， 淫必生 贪 ， 这话 用 在 严嵩 身上 未必 准确 ， 但用 在 严世蕃 的 身上 却 很 合适 。,贪必 淫  淫必生 贪  这话 人物二 身上 未必 准确  但用 人物一 身上 合适,-1
TRAIN_SENT_ID_276471,尤氏,贾珍,贾珍 听 了 的 尤氏 安排 ， “ 赞声不绝 。 ”,人物二 听 人物一 安排   赞声不绝,1
TRAIN_SENT_ID_251351,廖仲恺,何香凝,2 . 廖仲恺 何香凝 纪念馆,人物一 人物二 纪念馆,1
TRAIN_SENT_ID_253681,沈浪,朱七七,」 朱七七 与 熊猫儿 只觉 腰 畔 似 是 麻 了 麻 ， 竟 身不由主 地 坐 了 下去 ， 竟 再也不能 站 起 ， 但 眼睛 还是 瞪 着 沈浪 的 。,人物二 熊猫儿 只觉 腰 畔 似 麻 麻  竟 身不由主 坐 下去  竟 再也不能 站  眼睛 瞪 人物一,1
TRAIN_SENT_ID_266409,严世蕃,严嵩,严嵩 倒台 、 严世蕃 伏法 后 ， 徐养正 才 起 为 南京 通政使 司右 参议 ， 历任 通政使 司右 通政 、 南京 光 禄寺卿 。,人物二 倒台  人物一 伏法  徐养正 南京 通政使 司右 参议  历任 通政使 司右 通政  南京 光 禄寺卿,-1
TRAIN_SENT_ID_263887,刘嘉玲,梁朝伟,为什么 梁朝伟 、 刘嘉玲 、 毕淑敏 等 名人 将 不丹 尊奉 为 “ 幸福 圣地 ” ?,人物二  人物一  毕淑敏 名人 不丹 尊奉  幸福 圣地,1
TRAIN_SENT_ID_277714,李启铭,李刚,后 被 闻声 赶来 的 保安 和 学生 截获 ， 在 被 拦截 后 ， 李启铭 叫嚣 道 ： “ 有 本事 你们 去告 我 ， 我 爸爸 是 李刚 ” 。,闻声 赶来 保安 学生 截获  拦截  人物一 叫嚣 道   本事 去告  爸爸 人物二,-1
TRAIN_SENT_ID_263826,刘嘉玲,梁朝伟,梁朝伟 刘嘉玲,人物二 人物一,1
TRAIN_SENT_ID_277937,言希,温衡,言希 ： 08 - 69 ， 记住 了 温衡 ： 记住 什么 ？,人物一      记住 人物二  记住,1
TRAIN_SENT_ID_268274,秦始皇,扶苏,素来 刚愎自用 的 秦始皇 闻言 大怒 ， 当即 贬谪 扶苏 到 上 郡 ， 监 蒙恬 军 。,素来 刚愎自用 人物一 闻言 大怒  当即 贬谪 人物二 郡  监 蒙恬 军,-1
TRAIN_SENT_ID_277127,浦安修,彭德怀,沉默 好久 ， 彭德怀 才 开口 ： “ 我 有 预感 ， 浦安修 早有 准备 。,沉默 好久  人物二 开口   预感  人物一 早有 准备,1
TRAIN_SENT_ID_273437,杨乐乐,汪涵,《 越 淘越 开心 》 主持人 ： 汪涵 ， 杨乐乐,越 淘越 开心  主持人  人物二  人物一,1
TRAIN_SENT_ID_275129,朱七七,沈浪,朱七七 多情 ， 沈浪 正直 ， 熊猫儿 豪爽 ， 这些 善良 的 人 或多或少 触及 了 他 不愿 触及 的 内心 。,人物一 多情  人物二 正直  熊猫儿 豪爽  善良 或多或少 触及 不愿 触及 内心,1
TRAIN_SENT_ID_268470,梁静慈,甄子丹,甄子丹 感情 : 梁静慈,人物二 感情  人物一,1
TRAIN_SENT_ID_256367,孙尚香,刘备,29 ： 刘氏 夫妻 刘备 孙尚香,刘氏 夫妻 人物二 人物一,1
TRAIN_SENT_ID_268653,潘金莲,武大郎,嫁个 武大郎 ， 难保 不成 潘金莲 / 72,嫁个 人物二  难保 人物一,1
TRAIN_SENT_ID_270498,关平,关羽,正殿 内塑 有 关公 、 关平 、 周仓 像 ， 寝 殿内 有 一尊 身着 长袍 的 关羽 立像 ， 以 铜 锻成 ， 浑身 金光闪闪 。,正殿 内塑 关公  人物一  周仓  寝 殿内 一尊 身着 长袍 人物二 立像  铜 锻成  浑身 金光闪闪,-1
TRAIN_SENT_ID_277940,言希,温衡,温衡 ： 言希 ？,人物二  人物一,1
TRAIN_SENT_ID_255649,蒋介石,宋美龄,随后 ， 宋美龄 和 蒋介石 在 一大群 侍从 的 簇拥 下 向云 岫楼 进发 。,人物二 人物一 一大群 侍从 簇拥 向云 岫楼 进发,1
TRAIN_SENT_ID_275035,朱七七,沈浪,三天 期限 将 至 ， 沈浪 为 解救 仁义 山庄 ， 精心设计 ， 但 白飞飞 却 劫走 朱七七 。,三天 期限  人物二 解救 仁义 山庄  精心设计  白飞飞 劫走 人物一,1
TRAIN_SENT_ID_281957,萧淑妃,李治,"武媚娘 与 李治 十分 恩爱 , 致使 王皇后 和 萧淑妃 双双 失宠 。",武媚娘 人物二 十分 恩爱  致使 王皇后 人物一 双双 失宠,1
TRAIN_SENT_ID_269755,任我行,任盈盈,出寺 后 正式 结交 任盈盈 ， 两人 相救 幽禁 梅庄 的 任我行 。,出寺 正式 结交 人物二  两人 相救 幽禁 梅庄 人物一,-1
TRAIN_SENT_ID_269223,陆雪琪,张小凡,第五十九章 陆雪琪 vs 田灵儿 new 酒剑仙 异 世传 第六十章 战 张小凡 new,第五十九章 人物一  田灵儿  酒剑仙 异 世传 第六十章 战 人物二,1
TRAIN_SENT_ID_271669,陆乘风,陆冠英,曹达华 （ 陆乘风 ） ， 张鸿昌 （ 陆冠英 ）,曹达华  人物一   张鸿昌  人物二,-1
TRAIN_SENT_ID_264335,贾环,赵姨娘,赵姨娘 再 不 着 调 也 是 探春 的 亲娘 ， 贾环 是 亲 弟弟 ， 不看僧面看佛面 ， 打狗 还 得 看 主人 呢 ， 这番 打闹 ， 岂 不是 让 探春 没脸 吗 ？,人物二 调 探春 亲娘  人物一 亲 弟弟  不看僧面看佛面  打狗 主人  这番 打闹  岂 探春 没脸,-1
