sent_id,entity1,entity2,sent,processed_sent,label,hard_match
TRAIN_SENT_ID_262851,熊美玲,林秋离,No.29 心事 林秋离 熊美玲 蓝心湄,心事 人物二 人物一 蓝心湄,1,0
TRAIN_SENT_ID_273507,殷素素,张翠山,张翠山 与 殷素素 还 活着 ！,人物二 人物一 活着,1,0
TRAIN_SENT_ID_265693,贾环,贾政,第十回 贾环 谗言 进 贾政 宝玉 横祸 遭 毒打,第十回 人物一 谗言 进 人物二 宝玉 横祸 遭 毒打,-1,0
TRAIN_SENT_ID_276128,许仙,许仕林,媚娘 曾 企图 勾引 出家 后 的 许仙 未果 ， 又 企图 勾引 许仕林 却 被 小青 揭穿 而 未果 。,媚娘 企图 勾引 出家 人物一 未果  企图 勾引 人物二 小青 揭穿 未果,-1,0
TRAIN_SENT_ID_262469,扶苏,秦始皇,在 密谋 期间 ， 赵高 等 人 便 筑起 高台 把 秦始皇 的 尸体 晾于 其 上 ， 待 扶苏 自裁 后方 离开 沙丘 返回 咸阳 。,密谋 期间  赵高 便 筑起 高台 人物二 尸体 晾于  人物一 自裁 后方 离开 沙丘 返回 咸阳,-1,0
TRAIN_SENT_ID_258384,张兆和,沈从文,张兆和 致 沈从文 之三,人物一 人物二 之三,1,0
TRAIN_SENT_ID_255684,蒋介石,宋美龄,第五章 宋美龄 旋风 外交 蒋介石 位居 四强,第五章 人物二 旋风 外交 人物一 位居 四强,1,0
TRAIN_SENT_ID_273194,黄苗子,郁风,黄苗子 跟 郁风 是 美术界 的 朋友 多 ， 盛家伦 音乐界 的 朋友 多 ， 吴祖光 是 戏剧界 的 朋友 多 。,人物一 人物二 美术界 朋友  盛家伦 音乐界 朋友  吴祖光 戏剧界 朋友,1,0
TRAIN_SENT_ID_262976,熊美玲,林秋离,No.65 我 的 心 不 改变 林秋离 熊美玲 桂侠,心 改变 人物二 人物一 桂侠,1,0
TRAIN_SENT_ID_256601,李逍遥,李忆如,身份 ： 盛 渔村 客栈 老板娘 、 李逍遥 的 婶婶 、 李忆如 的 婶婆,身份  盛 渔村 客栈 老板娘  人物一 婶婶  人物二 婶婆,-1,0
TRAIN_SENT_ID_284582,荣安固伦公主,符珍,荣安固伦公主 额 驸 : 符珍 （ ？,人物一 额 驸  人物二,1,0
TRAIN_SENT_ID_253669,沈浪,朱七七,三 更 ， 沈浪 、 金无望 为 追查 窗外 神秘 人 离开 ， 留下 朱七七 照看 白飞飞 。,三 更  人物一  金无望 追查 窗外 神秘 离开  留下 人物二 照看 白飞飞,1,0
TRAIN_SENT_ID_249875,张无忌,赵敏,这 一番话 侃侃 道 来 ， 不亢不卑 ， 连 张无忌 和 赵敏 也 是 暗暗 叫好 。,一番话 侃侃 道  不亢不卑  人物一 人物二 暗暗 叫好,1,0
TRAIN_SENT_ID_259915,花月奴,江枫,可 千不该 万不该 的 ， 江枫 爱上 了 她 的 奴婢 花月奴 。,千不该 万不该  人物二 爱上 奴婢 人物一,1,0
TRAIN_SENT_ID_267413,许志安,郑秀文,此歌 是 许志安 的 音乐 代表作 之一 ， 后 被 郑秀文 、 高胜美 等 歌手 翻唱 。,此歌 人物一 音乐 代表作  人物二  高胜美 歌手 翻唱,1,0
TRAIN_SENT_ID_284897,戚芳,戚长发,血刀 弟子 一 、 血刀 弟子 二 、 血刀 弟子 三 、 水笙 、 戚长发 、 万震山 、 南门 四奇 、 戚芳 、 丁典 、 梅念笙 、 血刀老祖,血刀 弟子  血刀 弟子 二  血刀 弟子 三  水笙  人物二  万震山  南门 四奇  人物一  丁典  梅念笙  血刀老祖,-1,0
TRAIN_SENT_ID_286385,吕玲绮,吕布,实战 视频 ： 吕玲绮 吕布 传 06 究极 下 邳 掠夺 战,实战 视频  人物一 人物二 传  究极 邳 掠夺 战,-1,0
TRAIN_SENT_ID_262840,熊美玲,林秋离,No.20 什么 是 爱 林秋离 熊美玲 甄秀珍,爱 人物二 人物一 甄秀珍,1,0
TRAIN_SENT_ID_279556,李芳远,李成桂,这样 ， 李成桂 和 李芳果 多次 求 而 不得 的 明朝 册封 ， 终于 被 李芳远 得到 了 。,人物二 李芳果 多次 求 明朝 册封  终于 人物一 得到,-1,0
TRAIN_SENT_ID_259341,刘备,刘禅,懦 刘禅 与 智 刘备,懦 人物二 智 人物一,-1,0
TRAIN_SENT_ID_262760,熊美玲,林秋离,No.432 拖搁 再 拖 林秋离 熊美玲 陈亚兰,拖搁 拖 人物二 人物一 陈亚兰,1,0
TRAIN_SENT_ID_265998,杨绛,钱钟书,您 的 朋友 梁宗岱 、 钱钟书 、 杨绛 等 都 有 过 类似 经历 。,朋友 梁宗岱  人物二  人物一 类似 经历,1,0
TRAIN_SENT_ID_271043,江枫,花月奴,可 江枫 放弃 花月奴 是 怎样 ？,人物一 放弃 人物二,1,0
TRAIN_SENT_ID_268585,潘金莲,武大郎,— — “ 舅舅 ” 和 武松 回来 ， 潘金莲 将 武大郎 的 受害 真相 告知 了 他们 。,舅舅  武松 回来  人物一 人物二 受害 真相 告知,1,0
TRAIN_SENT_ID_283062,余克稷,张瑞芳,"但 余克稷 从 北平 到 重庆 宋 工作 , 又 是 征得 张瑞芳 同意 的 。",人物一 北平 重庆 宋 工作  征得 人物二 同意,1,0
TRAIN_SENT_ID_275994,贾午,贾充,521 董承 522 董旻 523 董昭 524 董厥 525 董衡 526 董袭 527 虞翻 528 贾午 529 贾充 530 贾南风,董承  董旻  董昭  董厥  董衡  董袭  虞翻  人物一  人物二  贾南风,-1,0
TRAIN_SENT_ID_260356,穆桂英,杨宗保,师爷 穆桂英 三擒三纵 杨宗保 ( 1956 ) ....,师爷 人物一 三擒三纵 人物二,1,0
TRAIN_SENT_ID_253665,沈浪,朱七七,朱七七 说 王怜花 学不来 沈浪 的 笑容 。,人物二 说 王怜花 学不来 人物一 笑容,1,0
TRAIN_SENT_ID_265886,杨绛,钱钟书,本书 全面 详实 地 了解 杨绛 和 钱钟书 ， 以及 两家 长辈 的 不为人知 的 轶事 典故,本书 全面 详实 了解 人物一 人物二  两家 长辈 不为人知 轶事 典故,1,0
TRAIN_SENT_ID_273981,白素,卫斯理,卫斯理 与 白素 相关 书目 : 编号,人物二 人物一 相关 书目  编号,1,0
TRAIN_SENT_ID_259586,冯小刚,徐帆,李亚鹏 王菲 ， 章子怡 周迅 ， 范冰冰 李冰 冰 ， 李宇春 刘晓庆 ， 黄晓明 陈坤 ， 冯小刚 徐帆 ， 刘德华 成龙 … …,李亚鹏 王菲  章子怡 周迅  范冰冰 李冰 冰  李宇春 刘晓庆  黄晓明 陈坤  人物一 人物二  刘德华 成龙,1,0
TRAIN_SENT_ID_287019,阮巡,吴琼,吴琼 阮巡 の 姐弟恋,人物二 人物一 の 姐弟恋,1,0
TRAIN_SENT_ID_262852,熊美玲,林秋离,No.3 一生 情 一生 还 林秋离 熊美玲 范怡文,一生 情 一生 人物二 人物一 范怡文,1,0
TRAIN_SENT_ID_272208,马小玲,况天佑,马小玲 和 况天佑 再 一次 携手 创造 奇迹 ！,人物一 人物二 一次 携手 创造 奇迹,1,0
TRAIN_SENT_ID_260239,穆桂英,杨宗保,阿哥 有心 赛过 杨宗保 ， 阿妹 有心 赛过 穆桂英 。,阿哥 有心 赛过 人物二  阿妹 有心 赛过 人物一,1,0
TRAIN_SENT_ID_275952,夏东海,夏雨,于是 ， 夏东海 和 刘梅 拉 着 是 刘星 、 夏雨 ， 买 了 好多 东西 去 看 那个 被 撞伤 的 老奶奶 ， 老奶奶 的 儿媳妇 接待 了 他们 。,人物一 刘梅 拉 刘星  人物二  买 好多 东西 撞伤 老奶奶  老奶奶 儿媳妇 接待,-1,0
TRAIN_SENT_ID_264027,刘备,孙尚香,刘备 ﹐ 孙尚香,人物一 ﹐ 人物二,1,0
TRAIN_SENT_ID_273350,秦香莲,陈世美,青天 难断 － 陈世美 与 秦香莲 皇帝 国家 戏剧 院,青天 难断  人物二 人物一 皇帝 国家 戏剧 院,1,0
TRAIN_SENT_ID_283640,庞祥麟,庞云徽,"小 Call , 小 Call 妈妈 , GiGi , GiGi 妈妈 , 庞祥麟 , 庞云徽 ；",妈妈     妈妈  人物一  人物二,-1,0
TRAIN_SENT_ID_271904,阎婆惜,宋江,戴宗 原本 是 在 江州 两院 做 牢头 ， 宋江 因为 阎婆惜 的 人命官司 来江州 服刑 ， 正好 在 他 的 管区 之内 。,戴宗 原本 江州 两院 做 牢头  人物二 人物一 人命官司 来江州 服刑  正好 管区 之内,1,0
TRAIN_SENT_ID_266979,关索,关羽,而 不论 “ 关 汉寿 ” ， 还是 “ 关索 ” ， 都 是 对 关羽 的 尊称 。,关 汉寿    人物一   人物二 尊称,-1,0
TRAIN_SENT_ID_282363,张奎,高兰英,BOSS 战 ： 张奎 + 高兰英 。,战  人物一  人物二,1,0
TRAIN_SENT_ID_271966,林丹,谢杏芳,虽然 成名 后 林丹 送 谢杏芳 的 都 是 路 虎 、 十万元 级 的 名表 等 礼物 。,成名 人物一 送 人物二 路 虎  十万元 级 名表 礼物,1,0
TRAIN_SENT_ID_260383,穆桂英,杨宗保,《 杨宗保 与 穆桂英 》 （ 开元 艺坊 ， 力霸 友联 电视台 ）,人物二 人物一   开元 艺坊  力霸 友联 电视台,1,0
TRAIN_SENT_ID_265126,杜晓苏,雷宇峥,10 . 等待 · 【 佳期 如梦 之 海上 繁花 】 [ 主角 ： 杜晓苏 ， 雷宇峥 ， 邵振嵘 ],等待   佳期 如梦 海上 繁花   主角  人物一  人物二  邵振嵘,1,0
TRAIN_SENT_ID_284437,孙小宝,金玲,蹦迪 八大 扯 主持人 : 孙小宝 金玲,蹦迪 八大 扯 主持人  人物一 人物二,1,0
TRAIN_SENT_ID_277216,张茜,张卫健,余嘉碧 群星 祝福 : 张卫健 与 太太 张茜 借助 网络 的 力量 ， 在 微博 呼吁 大家 为 其母 祈祷 。,余嘉碧 群星 祝福  人物二 太太 人物一 借助 网络 力量  微博 呼吁 其母 祈祷,1,0
TRAIN_SENT_ID_269285,陆雪琪,张小凡,也 愿意 成全 两个 徒弟 文敏 、 陆雪琪 ， 与 大竹 峰 （ 宋大仁 、 张小凡 ） 的 亲事 。,愿意 成全 两个 徒弟 文敏  人物一  大竹 峰  宋大仁  人物二  亲事,1,0
TRAIN_SENT_ID_277730,万圣龙王,万圣公主,在 祭赛国 ， 师徒 扫塔辨奇 冤枉 ， 在 二郎神 和 梅山 七圣 的 相助 下 ， 孙悟空 等 荡平 碧波 潭 ， 打死 万圣龙王 、 万圣公主 ， 击伤 九头 虫 。,祭赛国  师徒 扫塔辨奇 冤枉  二郎神 梅山 七圣 相助  孙悟空 荡平 碧波 潭  打死 人物一  人物二  击伤 九头 虫,-1,0
TRAIN_SENT_ID_269279,陆雪琪,张小凡,文案 ： 一期 _ 一会 _ 张小凡 恋 陆雪琪 虫虫 爬 爬 你家 佐加儿 谪 逸 青云 长留 活动 所有 参赛者,文案  一期  一会  人物二 恋 人物一 虫虫 爬 爬 你家 佐加儿 谪 逸 青云 长留 活动 参赛者,1,0
TRAIN_SENT_ID_269313,陆雪琪,张小凡,这里 也 是 张小凡 和 陆雪琪 初次 下山 来到 的 地点 ； 此外 ， 客房 所在 的 后院 适宜 赏花 。,人物二 人物一 初次 下山 来到 地点   客房 后院 适宜 赏花,1,0
TRAIN_SENT_ID_278534,李秀文,叶挺,叶挺 辞去 了 一切 职务 ， 十分 愉快 地 准备 去 苏联 莫斯科东方大学 学习 ， 但 他 又 怀着 对 李秀文 满腔 的 热恋 之情 。,人物二 辞去 职务  十分 愉快 准备 苏联 莫斯科东方大学 学习  怀着 人物一 满腔 热恋 之情,1,0
TRAIN_SENT_ID_283531,郑樱桃,石虎,后赵 太祖 石虎 皇后 郑樱桃,后赵 太祖 人物二 皇后 人物一,1,0
TRAIN_SENT_ID_258768,刘禅,刘备,3 曾效力 过 的 势力 : 益州 刘璋 、 蜀汉 刘备 、 刘禅,曾效力 势力  益州 刘璋  蜀汉 人物二  人物一,-1,0
TRAIN_SENT_ID_276734,刘梅,夏东海,在 刘梅 的 期盼 下 ， 夏东海 请 的 厨师 终于 来 了 。,人物一 期盼  人物二 请 厨师 终于,1,0
TRAIN_SENT_ID_256140,蒋介石,宋美龄,4 “ 恋恋 终 不能 忘 ” ， 蒋介石 猛追 宋美龄,恋恋 终 不能 忘   人物一 猛追 人物二,1,0
TRAIN_SENT_ID_256177,蒋介石,宋美龄,宋美龄 为 蒋介石 祈祷 上帝 / 224,人物二 人物一 祈祷 上帝,1,0
TRAIN_SENT_ID_278567,岳灵珊,岳不群,新建 页 面谈 岳不群 、 岳灵珊 、 林平之,新建 页 面谈 人物二  人物一  林平之,-1,0
TRAIN_SENT_ID_276516,尤氏,贾珍,⒈ 贾珍 — — 尤氏 ： 茄官 、 银蝶 儿 、 万儿 、 来升 、 喜儿 、 寿儿 、 栓儿 。,⒈ 人物二   人物一  茄官  银蝶  万儿  来升  喜儿  寿儿  栓儿,1,0
TRAIN_SENT_ID_282085,刘至翰,刘尚谦,甚至 还有 一次 妹妹 被 哥哥 打歪 鼻子 ， 让 爸爸 刘尚谦 不惜 买 机票 飞去 日本 ， 好好 教训 哥哥 刘至翰 。,一次 妹妹 哥哥 打歪 鼻子  爸爸 人物二 不惜 买 机票 飞去 日本  好好 教训 哥哥 人物一,-1,0
TRAIN_SENT_ID_267348,许志安,郑秀文,16 . 唯独 你 是 不 可取 替 - 郑秀文 / 许志安 ( 情人 伴唱版 ),唯独 可取  人物二  人物一  情人 伴唱版,1,0
TRAIN_SENT_ID_277186,张茜,张卫健,张卫健 、 舒淇 、 郑伊健 、 林心如 、 谭耀文 、 张茜 、 吴孟达 、 朱茵 、 陈法蓉,人物二  舒淇  郑伊健  林心如  谭耀文  人物一  吴孟达  朱茵  陈法蓉,1,0
TRAIN_SENT_ID_275668,梁济,梁漱溟,111 . 梁济 、 梁漱溟,人物一  人物二,-1,0
TRAIN_SENT_ID_262770,熊美玲,林秋离,No.316 海鸥 的 天空 林秋离 熊美玲 林琼珑,海鸥 天空 人物二 人物一 林琼珑,1,0
TRAIN_SENT_ID_252335,文姜,鲁桓公,其父 发现 后 ， 将 文姜 许配给 鲁国 的 国君 鲁桓公 。,其父 发现  人物一 许配给 鲁国 国君 人物二,1,0
TRAIN_SENT_ID_278327,方兰生,孙月言,主角 ： 方兰生 、 孙月言 、 方沁儿,主角  人物一  人物二  方沁儿,1,0
TRAIN_SENT_ID_268258,王小利,李琳,第 2011 - 05 - 16 期 ， 嘉宾 ： 王小利 、 李琳 ， “ 刘能 ” 的 幸福,期  嘉宾  人物一  人物二   刘能  幸福,1,0
TRAIN_SENT_ID_262763,熊美玲,林秋离,No.173 照不进 我 的 心 林秋离 熊美玲,照不进 心 人物二 人物一,1,0
TRAIN_SENT_ID_282366,张奎,高兰英,张奎 HP25000 ， 土 属性 ； 高兰英 HP20000 ， 无 属性 。,人物一   土 属性  人物二   属性,1,0
TRAIN_SENT_ID_281683,蒋韵,李锐,李锐 蒋韵 用 方块字 深刻 表达 臼己,人物二 人物一 方块字 深刻 表达 臼己,1,0
TRAIN_SENT_ID_265968,杨绛,钱钟书,写 《 围城 》 的 钱钟书 ( 杨绛 ),写  围城  人物二  人物一,1,0
TRAIN_SENT_ID_277187,张茜,张卫健,张卫健 主要 作品 : 音乐 专辑 : 电影 作品 : 张茜 :,人物二 主要 作品  音乐 专辑  电影 作品  人物一,1,0
TRAIN_SENT_ID_279462,郭啸天,李萍,曾江 （ 郭啸天 ） ， 于茵 （ 李萍 ）,曾江  人物一   于茵  人物二,1,0
TRAIN_SENT_ID_263809,刘嘉玲,梁朝伟,刘嘉玲 、 梁朝伟 、 李嘉欣 ...,人物一  人物二  李嘉欣,1,0
TRAIN_SENT_ID_268526,潘金莲,武大郎,习作 力图 塑造 武大郎 和 潘金莲 他们 顶天立地 、 光明磊落 的 崭新 形象 。,习作 力图 塑造 人物二 人物一 顶天立地  光明磊落 崭新 形象,1,0
TRAIN_SENT_ID_272976,吴晗,袁震,吴晗 与 袁震,人物一 人物二,1,0
TRAIN_SENT_ID_286669,武之内空,石田大和,■ 八神 太一 武之内空 石田大和,■ 八神 太一 人物一 人物二,1,0
TRAIN_SENT_ID_274491,潘汉年,董慧,潘汉年 与 董慧 强烈 地 感觉 到 了 这种 极为 宝贵 的 人世 真情 ， 这 让 他们 饱受 痛楚 的 心灵 有 了 几分 宽慰 。,人物一 人物二 强烈 感觉 这种 极为 宝贵 人世 真情  饱受 痛楚 心灵 几分 宽慰,1,0
TRAIN_SENT_ID_278817,任盈盈,任我行,阵容 弟子 ： 东方不败 、 风清扬 、 令狐冲 、 任盈盈 、 任我行 、 岳不群,阵容 弟子  东方不败  风清扬  令狐冲  人物一  人物二  岳不群,-1,0
TRAIN_SENT_ID_256113,蒋介石,宋美龄,宋美龄 与 蒋介石 形影相随,人物二 人物一 形影相随,1,0
TRAIN_SENT_ID_274633,傅敏,傅雷,傅敏 与 《 傅雷 家书 》,人物一  人物二 家书,-1,0
TRAIN_SENT_ID_262539,扶苏,秦始皇,扶苏 史籍 记载 : 《 史记 · 卷 六 · 秦始皇 本纪 第六 》,人物一 史籍 记载   史记  卷 六  人物二 本纪 第六,-1,0
TRAIN_SENT_ID_262829,熊美玲,林秋离,No.147 着迷 林秋离 熊美玲 邰正宵,着迷 人物二 人物一 邰正宵,1,0
TRAIN_SENT_ID_273886,江冬秀,胡适,对 胡适 和 陆小曼 的 郎情 侬 意 ， 胡 太太 江冬秀 早有 耳闻 。,人物二 陆小曼 郎情 侬 意  胡 太太 人物一 早有 耳闻,1,0
TRAIN_SENT_ID_285432,汝宁公主,陆贤,陆仲亨 亲属 成员 : 子 ： 陆贤 ， 汝宁公主 授 驸马 都尉 。,陆仲亨 亲属 成员  子  人物二  人物一 授 驸马 都尉,1,0
TRAIN_SENT_ID_268754,孟明视,百里奚,百里奚 与 孟明视 为 一人辩,人物二 人物一 一人辩,-1,0
TRAIN_SENT_ID_275099,朱七七,沈浪,沈浪 却 早已 看破 ， 更 在 此 对 朱七七 表明 自己 的 心迹 。,人物二 早已 看破  更 人物一 表明 心迹,1,0
TRAIN_SENT_ID_262937,熊美玲,林秋离,No.90 空虚 林秋离 熊美玲 江青 蓉,空虚 人物二 人物一 江青 蓉,1,0
TRAIN_SENT_ID_268481,曹襄,卫长公主,第一次 ， 亲上 作亲 ， 卫长公主 下嫁 第五代 平阳侯 曹襄 。,第一次  亲上 作亲  人物二 下嫁 第五代 平阳侯 人物一,1,0
TRAIN_SENT_ID_282247,易连恺,秦桑,18 . 邂逅 · 《 迷雾 围城 》 （ 原名 《 夜色 》 ） [ 主角 ： 易连恺 秦桑 ],邂逅   迷雾 围城   原名  夜色    主角  人物一 人物二,1,0
TRAIN_SENT_ID_276274,西门吹雪,孙秀青,西门吹雪 赶赴 楼兰 去 救 孙秀青 。,人物一 赶赴 楼兰 救 人物二,1,0
TRAIN_SENT_ID_265163,尤二姐,贾琏,（ 十二 ） 贾琏 与 尤二姐 、 多 姑娘 和 鲍二家的,十二  人物二 人物一  姑娘 鲍二家的,1,0
TRAIN_SENT_ID_261485,谢依纯,马国毕,"20110325 百万 小 学堂 孙协志 渴望 婚姻 目标 生 三个 夏宇童 , 马国毕 , 谢依纯 , 纪文蕙 , 黄平洋 , 孙协志",百万 学堂 孙协志 渴望 婚姻 目标 生 三个 夏宇童  人物二  人物一  纪文蕙  黄平洋  孙协志,1,0
TRAIN_SENT_ID_281899,赵统,赵云,赵云 ： 赵统 ， 赵广 ， 赵葳,人物二  人物一  赵广  赵葳,-1,0
TRAIN_SENT_ID_279459,郭啸天,李萍,祖父母 ： 郭啸天 、 李萍,祖父母  人物一  人物二,1,0
TRAIN_SENT_ID_275765,李沅芷,余鱼同,余鱼同 为 避 李沅 坐船 独行 ， 遇上 关东 三魔及 仇人 言伯干 等 ， 几次 遇险 ， 仗 机警 逃出 ， 亏得 李沅芷 假扮 他 引开 众人 ， 才 得 脱险 。,人物二 避 李沅 坐船 独行  遇上 关东 三魔及 仇人 言伯干  几次 遇险  仗 机警 逃出  亏得 人物一 假扮 引开 众人  脱险,1,0
TRAIN_SENT_ID_284957,温衡,言希,温衡 ： 言希 ？,人物一  人物二,1,0
TRAIN_SENT_ID_268470,梁静慈,甄子丹,甄子丹 感情 : 梁静慈,人物二 感情  人物一,1,0
TRAIN_SENT_ID_273433,杨乐乐,汪涵,1 主持 阵容 : 金晓琳 、 冯祺 、 郑慧琳 、 仇晓 、 汪涵 、 杨乐乐 。,主持 阵容  金晓琳  冯祺  郑慧琳  仇晓  人物二  人物一,1,0
TRAIN_SENT_ID_267540,慕容令,慕容垂,慕容垂 同意 了 ， 命 慕容令 断后 。,人物二 同意  命 人物一 断后,-1,0
TRAIN_SENT_ID_267388,许志安,郑秀文,1 专辑 曲目 : 1 . 大 报复 / 叮当 / 失忆 / 十戒 / 热爱 岛 / Friends / 终于 开始 （ 许志安 ; 郑秀文 ）,专辑 曲目    报复  叮当  失忆  十戒  热爱 岛    终于  人物一  人物二,1,0
TRAIN_SENT_ID_256025,蒋介石,宋美龄,第一章 宋美龄 与 蒋介石 的 结合,第一章 人物二 人物一 结合,1,0
TRAIN_SENT_ID_268062,樊梨花,薛丁山,在 樊梨花 相助 下 ， 薛丁山 征西 成功 。,人物一 相助  人物二 征西 成功,1,0
TRAIN_SENT_ID_281623,黄峨,杨慎,王世贞 认为 黄峨 词曲 超过 了 杨慎 ， 慎 “ 俱 不能 胜 ” 。,王世贞 认为 人物一 词曲 超过 人物二  慎  俱 不能 胜,1,0
TRAIN_SENT_ID_264081,刘备,孙尚香,纯爱 の 绊 幸运 度提高 ， 变得 更 容易 获得 稀有 素材 刘备 ・ 孙尚香,纯爱 の 绊 幸运 度提高  变得 更 容易 获得 稀有 素材 人物一 ・ 人物二,1,0
TRAIN_SENT_ID_253780,申雪,赵宏博,亚洲 影响力 体育 运动员 申雪 赵宏博,亚洲 影响力 体育 运动员 人物一 人物二,1,0
TRAIN_SENT_ID_279182,赵薇,黄有龙,此后 是 黄有龙 与 赵薇 一家 在 新马泰 度假 。,此后 人物二 人物一 一家 新马泰 度假,1,0
TRAIN_SENT_ID_251220,廖仲恺,何香凝,廖仲恺 、 何香凝 墓 58,人物一  人物二 墓,1,0
TRAIN_SENT_ID_255661,蒋介石,宋美龄,蒋介石 宋美龄 游 焦山,人物一 人物二 游 焦山,1,0
TRAIN_SENT_ID_278955,乔蚩尤,乔羽,同时 ， 其 听从 汁 光纪 之命 ， 魔化 乔蚩尤 ， 害 得 蚩尤 之 父 乔羽 魂飞魄散 ， 命丧 黄泉 。,听从 汁 光纪 之命  魔化 人物一  害 蚩尤 父 人物二 魂飞魄散  命丧 黄泉,-1,0
TRAIN_SENT_ID_253742,申雪,赵宏博,林立 雪 见到 自己 的 花 滑 偶像 申雪 、 赵宏博 也 是 欣喜 异常 ， 奉上 事先 准备 好 的 ‘ 束 ?,林立 雪 见到 花 滑 偶像 人物一  人物二 欣喜 异常  奉上 事先 准备  束,1,0
TRAIN_SENT_ID_263451,梅葆玖,梅兰芳,北京京剧院 梅兰芳 京剧团 主要 领导 : 团长 梅葆玖,北京京剧院 人物二 京剧团 主要 领导  团长 人物一,-1,0
TRAIN_SENT_ID_285390,苏樱,江小鱼,好友 ： 苏樱 ， 江小鱼,好友  人物一  人物二,1,0
TRAIN_SENT_ID_271441,杨云,杨威,杨云 的 离开 让 杨威 觉得 天 都 快 塌下来 了 。,人物一 离开 人物二 觉得 天 快 塌下来,1,0
TRAIN_SENT_ID_274886,晏几道,晏殊,南宋 以后 主张 典雅 的 词人 ， 反对 柳永 、 周邦彦 词 的 “ 软媚 ” ， 故未选 柳永 、 晏殊 、 晏几道 、 秦观 等 人词 。,南宋 以后 主张 典雅 词人  反对 柳永  周邦彦 词  软媚   故未选 柳永  人物二  人物一  秦观 人词,-1,0
TRAIN_SENT_ID_254350,金友庄,高凌风,20100414 来宾 ： 金友庄 、 高凌风,来宾  人物一  人物二,1,0
