sent_id,entity1,entity2,sent,processed_sent,human
TRAIN_SENT_ID_276999,樊迟,孔子,敬鬼神而远之 成语 出处 : 春秋 · 鲁 · 孔子 《 论语 · 雍 也 》 ： 樊迟 问知 ， 子 曰 ： “ 务民之义 ， 敬鬼神而远之 ， 可谓 知矣 。 ”,敬鬼神而远之 成语 出处  春秋  鲁  人物二  论语  雍   人物一 问知  子 曰   务民之义  敬鬼神而远之  可谓 知矣,1
TRAIN_SENT_ID_284526,易水寒,白非凡,儿子 ： 白非凡 、 易水寒,儿子  人物二  人物一,1
TRAIN_SENT_ID_250677,鲁西西,皮皮鲁,的 作品 中 的 5 位 主人公 皮皮鲁 、 鲁西西 、 舒克 、 贝塔 和 大,作品 中  位 主人公 人物二  人物一  舒克  贝塔,1
TRAIN_SENT_ID_284933,凤惊声,凤凰鸣,凤凰鸣 探查 灭境 邪源 ， 带回 被 魔化 的 恶海鲛祖 与 凤惊声 等 人 ， 并 委托 不二 做 寻 绯 羽怨 姬 救治 他们 。,人物二 探查 灭境 邪源  带回 魔化 恶海鲛祖 人物一  委托 不二 做 寻 绯 羽怨 姬 救治,1
TRAIN_SENT_ID_262241,尤二姐,尤三姐,第六十五回 贾二舍 偷 娶 尤二姐 尤三姐 思嫁 柳 二郎,第六十五回 贾二舍 偷 娶 人物一 人物二 思嫁 柳 二郎,1
TRAIN_SENT_ID_250723,鲁西西,皮皮鲁,皮皮鲁 、 鲁西西 、 罗克 、 舒克和贝塔 是 他 笔下 塑造 的 形象 。,人物二  人物一  罗克  舒克和贝塔 笔下 塑造 形象,1
TRAIN_SENT_ID_264679,柳承莞,柳承范,柳承范 会 出现 在 主演 名单 里 当然 不需 讶异 ， 作为 导演 的 兄弟 ， 他 已 是 柳承莞 作品 的 固定 班底 。,人物二 会 出现 主演 名单 里 不需 讶异  导演 兄弟  人物一 作品 固定 班底,1
TRAIN_SENT_ID_269726,薛洋,薛之荔,楚牧 的 母亲 ， 薛洋 、 薛之荔 的 继母 ， 性格 大大咧咧 ， 是 一位 宽容 善良 的 女性 。,楚牧 母亲  人物一  人物二 继母  性格 大大咧咧  一位 宽容 善良 女性,1
TRAIN_SENT_ID_262251,尤二姐,尤三姐,六十五 回 贾二舍 偷 娶 尤二姐 尤三姐 思嫁 柳 二郎,六十五 回 贾二舍 偷 娶 人物一 人物二 思嫁 柳 二郎,1
TRAIN_SENT_ID_252714,颜回,孔子,孔子 谓 颜回 曰 ： “ 吾 服 汝 也 忘 ， 而汝服 于 我 也 亦 忘 。,人物二 谓 人物一 曰   吾 服 汝 忘  而汝服 忘,1
TRAIN_SENT_ID_264591,凌波,凌音,面对 归还 神农 鼎 的 夏侯瑾轩 等 ， 凌音 询问 他们 是否 真的 没有 见到 姐姐 凌波 ， 瑕 觉得 很 抱歉 。,面对 归还 神农 鼎 夏侯瑾轩  人物二 询问 是否 真的 没有 见到 姐姐 人物一  瑕 觉得 抱歉,1
TRAIN_SENT_ID_270779,徐若瑄,徐佩瑜,徐若瑄 把 自己 和 姐姐 徐佩瑜 的 合照 放 上 网站 ， 引起 网友 的 热烈 讨论 。,人物一 姐姐 人物二 合照 放 网站  引起 网友 热烈 讨论,1
TRAIN_SENT_ID_265483,薛蝌,薛蟠,冷子兴 当 了 官 ， 和 薛蟠 、 薛蝌 外出 做生意 。,冷子兴 官  人物二  人物一 外出 做生意,1
TRAIN_SENT_ID_250117,武敦儒,武修文,有二子 武敦儒 、 武修文 ， 妻子 武三娘 ， 义女 何沅君 。,有二子 人物一  人物二  妻子 武三娘  义女 何沅君,1
TRAIN_SENT_ID_261440,毛泽建,毛泽东,毛泽东 没有 让 毛泽建 失望 ， 带 着 她 来到 长沙 ， 送 她 到 建本 和 崇实 女子 职业 学校 读书 。,人物二 没有 人物一 失望  带 来到 长沙  送 建本 崇实 女子 职业 学校 读书,1
TRAIN_SENT_ID_264259,陈真,霍元甲,霍东阁 自小 由 精武门 的 陈真 抚养 长大 ， 霍东阁 是 已故 英雄 霍元甲 的 儿子 。,霍东阁 自小 精武门 人物一 抚养 长大  霍东阁 已故 英雄 人物二 儿子,1
TRAIN_SENT_ID_257789,林平之,岳不群,殊不知 ， 岳不群 挖 了 一个 非常 大 的 坑 等 着 他 跳 呢 ， 从此 ， 林平之 接下来 的 一生 ， 不是 自己 所 能 掌控 得 了 的 。,殊不知  人物二 挖 一个 非常 坑 跳   人物一 接下来 一生  掌控,1
TRAIN_SENT_ID_258150,刘星,夏雪,从 医院 回来 ， 夏雪 和 刘星 还 嘴硬 不肯 服输 ， 装做 一切 都 很 好 的 样子 。,医院 回来  人物二 人物一 嘴硬 不肯 服输  装做 样子,1
TRAIN_SENT_ID_259410,凌音,凌波,凌音 角色 关系 : 亲人 ： 父母 未知 ， 有 一 亲生 姐姐 凌波 。,人物一 角色 关系  亲人  父母 未知  亲生 姐姐 人物二,1
TRAIN_SENT_ID_256918,仲由,孔子,孔子 为 避鲁乱 曾 到 此 讲学 ， 亲见 仲由 率 百姓 负米 筑堤 盛况 ， 叹 曰 ： “ 由 也 ， 事亲 可谓 生 ， 事 尽力 矣 。 ”,人物二 避鲁乱 讲学  亲见 人物一 率 百姓 负米 筑堤 盛况  叹 曰    事亲 可谓 生  事 尽力,1
TRAIN_SENT_ID_250616,鲁西西,皮皮鲁,他 的 作品 中 的 5 位 主人公 皮皮鲁 、 鲁西西 、 舒克 、 贝塔 和 大灰狼 罗克,作品 中  位 主人公 人物二  人物一  舒克  贝塔 大灰狼 罗克,1
TRAIN_SENT_ID_269724,薛洋,薛之荔,薛洋 、 薛之荔 的 父亲 ， 富商 ， 性格内向 ， 沉稳 ， 手下 对 他 都 很 忠心 。,人物一  人物二 父亲  富商  性格内向  沉稳  手下 忠心,1
TRAIN_SENT_ID_250623,鲁西西,皮皮鲁,郑渊洁 完全 以 一个 开放 的 态度 支持 “ 皮皮鲁 ” “ 鲁西西 ” 和 《 魔方 大厦 》 的 结合 。,郑渊洁 完全 一个 开放 态度 支持  人物二   人物一   魔方 大厦  结合,1
